식품명,No.,SAMPLE_ID,성분,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1포장당,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g),면,스프
NEW 공화춘곱빼기,1,P064392-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064392,식약처('21),230,745.0,-,14,36,91,7.0,1230.0,10,15,-,0,"소맥분(미국산,호주산),변성전분,팜유(말레이시아산,글루텐,감미유S,정제염,양파농축액,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨),구아검,산도조절제,비타민B2,녹차풍미액","양파(중국산),정제수,춘장11.48%(소맥분,카라멜색소,대두,정제염,종국),감자,돈지,짜장풍미유(채종유,혼합올리브유,건양파,샬롯후레바,건마늘),설탕,돼지고기,변성전분,덱스트린,전분,대두단백후레이크,L-글루탐산나트륨(향미증진제),생강농축액,정제염,항미증진제,대합액기스분말,산도조절제,조미맛분"
NEW 공화춘자장컵,2,P064393-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064393,식약처('21),200,620.0,-,11,31,74,7.0,1130.0,10,12,-,0,"소맥분(밀:미국산,호주산)팜유(말레이시아산)변성전분,글루텐전분양파농축액 정제염 산도조절제,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨, 구아검, 김미유, 비타민B, 녹차풍미액·자장","양파(중국산),정제수,춘장(소맥분(밀),카라멜색소,대두(대두),정제염,종국, 감자,돈지(돼지고기), 설탕, 돼지고기, 변성전분,덱스트린, 전분,L-글루타민산나트륨(향미증진제),생강농축액, 정제염, 향미증진제, 대합엑기스분말,산도조절제"
강릉 교동반점 직화짬뽕소컵,3,P064394-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064394,식약처('21),65,290.0,-,6,12,39,3.0,1040.0,5,6,-,0,"소맥분(미국산,호주산),변성전분,팜유(말레이시아산),감자전분(독일산,덴마크산),글루텐,감미유S,정제염,야채풍미액,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트함),구아검,산도조절제,알긴산프로필렌글리골,녹차풍미액,비타민B2","짬뽕페이스트,L-글루탐산나트륨(향미증진제),해물짬뽕분말,설탕,건양배추,건청경채,정제염,육수풍미분말,낙지볶음페이스트,조미비프후레이크,철판향미유,정제수,짬뽕맛베이스,혼합야채엑기스,돈골농축분말,양조간장,건오징어,조미간장양념분,간장분말,맛나베이스,매운양념분말,조미분에이,간장조미분말,고춧가루,볶음양념분말,새우분말,양파농축액,변성전분,볶음고추분말,파프리카추출색소,이산화규소,청양고추엑기스분말,향미증진제,생강풍미분말,덱스트린"
꼬꼬누룽지탕면,4,P064395-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064395,식약처('21),120,505.0,-,9,13,88,4.0,1670.0,2,6,-,0,"소맥분(미국산,호주산),팜유(말레이시아산),변성전분,감자전분,감미유S,정제염,야채풍미액,글루텐,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨),구아검,산도조절제,알긴산프로필렌글리콜,녹차풍미액,비타민B2","구수한즉석누룽지(쌀99.9%(국내산),정제소금0.1%),닭육수분말,치킨스톡분말,설탕,치킨브로스분말,치킨스프베이스,맛베이스,인삼맛분말,정제염,간장조미분말,건당근,건파,복합감칠맛분말,치킨풍미분말,계란후레이크,조미맛분,고춧가루,볶음된장분말,청양고추엑기스분말,건조지단,건홍피망,조미닭고기후레이크,치킨향분말,덱스트린,감칠맛조미분,산도조절제,치킨팻,향미증진제,청양고추추출물분말,흑후추분말"
뉴트리 클로렐라컵면,5,P064396-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064396,식약처('21),65,300.0,-,6,12,41,1.0,940.0,8,6,-,0,"소맥분(밀:미국산,호주산),팜유(말레이시아산),감자전분,변성전분,정제염,감미유S,야채풍미액,난각분말(계란),클로렐라원말,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨),구아검,산도조절제,녹차풍미액,디에이취에이칼슘분말-5(우유),발아현미분말","설탕,오징어조미분말,정제염,가쓰오베이스분말(밀), 덱스트린, 가쓰오분말, 지미베이스, 건오징어, 복합간장조미분말, 감칠맛조미분, 간장분말(우유,대두,돼지고기), 고농축간장분말, 조미분에이, 양조간장분말, 건파, 건당근, 불고기맛분말, 효모조미액분말, 세이보리분말, 건미역, 조미마늘분-3, 조미건조홍고추, 향미증진제, 멸치분말, 산도조절제, 다시마엑기스분말, 흑후추분말, 고춧가루, 대합엑기스분말, 대두유 특정성분 면중 클로렐라원말 0.260%(국산)포함"
뉴트리김치찌개면,6,P064397-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064397,식약처('21),140,480.0,-,6,20,66,1.0,1870.0,3.5,11,-,0,"소맥분(미국산, 호주산),팜유(말레이시아산),변성전분,감자전분,감미유S,정제염,면류첨가알칼리제(탄산칼륨, 탄산나트륨, 제이인산나트륨), 야채풍미액, 구아검, 산도조절제, 녹차풍미액, 비타민B2","종가집 맛김치[절임배추(국산), 종가집김치전용풀, 무, 고춧가루, 양파], 정제염, 대두유, L-글루타민산나트륨(향미증진제), 볶음고추분말, 육수풍미분말, 돈골농축분말, 김치찌개분말, 김치스프베이스, 김치맛분말, 복합간장조미분말, 건파, 설탕, 건양파, 간장분말, 변성전분, 조미마늘분, 사골된장분말, 건마늘, 분말된장, 고추장양념분말, 청양고추엑기스분말, 정제수, 산도조절제, 흑후추분말, 고춧가루, 건홍피망, 파프리카추출색소, 양파문말, 향미증진제, 마늘향오일, 덱스트린 *특정성분: 분말스프 중 건김치함량 6.9%, 김치스프 중 김치함량 94.0%"
더왕뚜껑컵 순한맛,7,P064398-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064398,식약처('21),101,420.0,-,8,13,68,4.0,1690.0,0,6,-,0,"소맥분(미국산,호주산), 변성전분,팜유(말레이시아산),감자전분(독일산, 덴마크산),제면용탕종분, 감미유S,정제염,야채풍미브로스,글루텐,감미유S, 면류첨가알칼리제(탄산나트륨,탄산칼륨,제이인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차풍미액,비타민B2","감칠맛베이스,쇠고기국밥베이스,건청경채,고추풍미분말,정제염,설탕, 쇠고기장분말,조미분에이, 풍미유에이스분말,사골엑기스분말,조미마늘분, 소고기맛조미후레이크,조미농축분말,양지베이스분말,비프스톡분말,돈골 농축분말,볶음고추분말,복합간장조미분말, 장국베이스,쇠고기맛분,사골된장 분말,건파,무국맛분말,건당근,표고버섯엑기스분말,흑후추분말,덱스트린,향미 증진제,고추입자,산도조절제, 파프리카추출색소"
독도사랑새우맛라면,8,P064399-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064399,식약처('21),105,450.0,-,11,14,70,4.0,1790.0,33,7,-,0,"소맥분(미국산,호주산),팜유(말레이시아산, 변성전분, 감자전분(독일산,덴마크산),감미유,정제염,야채풍미액,글루텐,면류첨가알칼리제,탄산칼륨,탄산나트륨,피로인산나트륨,구아검,산도조절제알긴산프로필렌글리콜,녹차풍미액,비타민B2","새우탕맛베이스,건새우,청경채,정제염,홍합볼후레이크,새우분말,L-글루탐산나트륨(향미증진제),건당근,육수조미분,간장분말,매운양념분말,건미역장국베이스,간장조미분말,복합간장조미분말,오징어조미분말,고춧가루,김치맛콩나물분말,혼합조미료,조미마늘분,사골된장분말,조미양념분,미더덕엑기스분말,건파,풍미유베이스분말,흑후추분말,조미맛분,건홍피망,대합엑기스분말,다시마엑기스분말,파프리카추출색소,향미증진제,이산화규소,아미노산혼합제제,영양강화제향미증진제,스프중새우13.7%(국산58.0%,인도/파키스탄산42.0%)함유(건조물기준)"
민생라면컵,9,P064400-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064400,식약처('21),80,350.0,-,7,12,53,2.0,1470.0,0,2.6,-,0,"소맥분(미국산, 호주산), 팜유(말레이시아산), 변성전분, 감자전분(독일산, 덴마크셀, 감미유S, 정제염, 야채풍미액, 글루텐, 면류첨가알칼리제(탄산칼륨,탄산나트륨, 피로인산나트륨), 구아검,산도조절제, 알긴산프로필렌글리콜,녹차풍미액, 비타민B2","정제염,L-글루탐산나트륨(향미증진제), 고춧가루, 복합간장조미분말, 건청경채,건당근,건양배추, 설탕, 불고기맛분말, 장국베이스, 간장조미분말, 쇠고기맛분, 고농축간장분말, 조미양념분, 조미마늘분 치킨스톡분말, 사골엑기스분말, 쇠고기조미분말, 매운풍미분, 전분, 매운맛베이스,산도조절 제 향미증진제, 흑후추분말, 파프리카추출색소, 비프시즈닝오일, 시즈닝조미액"
봉희설렁탕컵,10,P064401-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064401,식약처('21),110,525.0,-,8,25,67,3.0,1780.0,0,13,-,0,"소맥분(미국산, 호주산), 변성전분, 팜유(말레이시아산), 정제염(국내산),감미유, 글루텐, 양파농축액,면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨),전분,구아검,산도조절제,녹차풍미액","사골설렁탕분말,정제염,설탕,L-글루탐산나트륨(향미증진제),건파,가공유장분,옥수조미분,조미마늘분,비프풍미료,비프시즈닝오일분말,흑후추분말,조미불고기분말,산도조절제,비프시즈닝오일,향미증진제"
뽀로로스파게티,11,P064402-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064402,식약처('21),65,295.0,-,5,12,42,6.0,610.0,0,6,-,0,"소맥분(밀:미국산,호주산), 변성전분,팜유(말레이시아산),감자전분(독일산,덴마크산),글루텐,감미유,정제염,난각분말,야채풍미역,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨),구아검,산도조절제,알긴산프로필렌글리콜,녹차풍미액,비타민B","볶음토마토풍미분말,식물성크림, 감칠맛베이스,건양배추,포도당, 고지방분말, 전지분유, 건당근,튀김감자다이스,설탕,정제염, 고기고명후레이크, 치즈복합 치즈복합분말,복합간장조미분말, 양파분말, 치즈분말,산도조절제,치킨스톡분말, 비프시즈닝오일, 파프리카추출색소, 파셀리 후레이크, 흑후추분말"
뽀로로짜장,12,P064403-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064403,식약처('21),65,290.0,-,6,11,42,4.0,600.0,0,5,-,0,"소맥분(밀:미국산,호주산), 변성전분,팜유(말레이시아산),감자전분,글루텐,감미유S, 정제염, 난각분말, 야채풍미액,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨), 구아검,산도조절제, 알긴산프로필렌글리콜,녹차풍미액, 비타민B2","짜장시즈닝분말(소맥분(미국산,호주산),대두(외국산)정제염(국내산)),설탕, 탈지분유,볶음양파분말,건양배추,맛베이스,정제염,튀김감자다이스,조미비프후레이크, 불고기맛분말,복합감칠맛분말,전분"
왕뚜껑컵,13,P064404-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064404,식약처('21),65,285.0,-,5,9,46,3.0,1050.0,0,4.3,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산),감자전분(독일산,덴마크산), 변성전분, 정제염,글루텐,감미유S,야채풍미액,면류첨가알칼리제(탄산나트륨, 탄산칼륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차 풍미액,비타민B","정제염, 소고기맛조미후레이크,고춧가루,설탕,건당근,맛베이스, 볶은소금, 볶음짬뽕분, 혼합조미료,오징어조미분말, 새우분말, 양파분말,고추장양념분말, 간장조미분말,복합간장조미분말,쇠고기맛분,건파,핫베이스분말,청경재, 계란 지단, 양념간장액분말,매운양념분말, 포도당,돈골농축분말,조미분에이,사골엑기스 분말, 고풍쇠고기맛분말, 향미증진제, 건표고버섯,감칠맛조미분, 우아미베이스, 흑후추분말,마늘시즈닝분말,산도조절제, 파프리카추출색소,생강풍미분말,잔탄검"
육개장 컵라면,14,P064405-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064405,식약처('21),79,345.0,-,7,11,55,3.0,1460.0,0,5,-,0,"소맥분(미국산), 팜유(말레이시아산), 감자전분, 초산전분, 호화옥수수분, 미강풍미액, 난각칼슘, 정제염, 면류첨가알카리제, 산 도조절제, 간장조미액, 구아검, 올리고녹차풍미액, 비타민B2","육개장조미료, 정제염, 양념간장베이스, 볶음소금, 정백당, 볶음양념분, 육수조미분말, 포도당, 팜유조미분말, 향미증진제, 비프양념분말, 이스트풍미분, 마늘추출물분말, 복합양념분말, 매운맛조미분, 후추가루, 분말고추장, 조미소고기분말, 양파풍미분,질 리맛풍미분, 소고기맛분, 간장풍미분, 육개장맛유분, 효모추출물, 구아검, 소용돌이맛살, 건파, 건조맛살, 계란맛어포"
일품해물라면 왕컵,15,P064406-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064406,식약처('21),110,470.0,-,11,15,73,4.0,1620.0,9,7,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산),감자전분(독일산,덴마크산), 변성전분,정제염,글루텐,감미유S,야채풍미액,면류첨가알칼리제(탄산나트륨, 탄산칼륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차 풍미액, 비타민B2","정제염,L-글루타민산나트륨(향미증진제), 설탕,볶음시즈닝분말, 건양배추, 조미간장양념분, 오징어조미분말,간장분말, 꽃게베이스,건당근,새우분말, 조미 분에이,간장조미분말,오징어후레이크,해산물분말,건파, 건미역,맛나베이스,양파 간장복합분말,건다시마,건오징어,조미새우분말,볶음양념분말,홍합엑기스분말, 조미마늘분,매운양념분말, 미더덕엑기스분말,흑후추분말,파프리카추출색소,향미증진제,조미맛분,산도조절제, 생각풍미분말,대합엑기스분말"
일품해물라면컵,16,P064407-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064407,식약처('21),65,275.0,-,6,8,45,3.0,990.0,11,4.1,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산),감자전분(독일산,덴마크산), 변성전분,글루텐,감미유S,야채풍미액,면류첨가알칼리제(탄산나트륨, 탄산칼륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차 풍미액, 비타민B2","정제염,L-글루타민산나트륨(향미증진제),설탕,볶음시즈닝분말, 건양배추, 조미간장양념분, 오징어조미분말,간장분말, 꽃게베이스,건당근,새우분말, 조미 분에이, 간장분말, 꽃게베이스,새우분말,건파, 건당근,오징어후레이크,조미분 에이,건미역,간장조미분말,건다시마,건오징어,해산물분말,맛나베이스,양파 간장복합분말, 조미새우분말,볶음양념분말,홍합엑기스분말, 조미마늘분, 매운 양념분말, 미더덕엑기스분말,흑후추분말,향미증진제, 파프리카추출색소,조미 맛분,산도조절제, 생각풍미분말, 대합엑기스분말"
팔도 mini 우동 왕뚜껑,17,P064408-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064408,식약처('21),80,375.0,-,7,13,58,3.0,1260.0,0,6,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산),변성전분, 감자전분(독일산,덴마크산),감미유S,정제염,야채풍미액,글루텐,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차풍미액, 비타민B2","정제염, 가쓰오우동소스분말,설탕,L-글루탐산나트륨(향미증진제), 별미튀김,양조간장분말, 포도당,유당, 소용돌이맛살,표고버섯엑기스분말, 가쓰오부시분말, 효모조미액분말,건미역, 카라멜색소,고춧가루,향미증진제, 다시마엑기스분말, 대두유,산도조절제"
팔도 mini왕뚜껑,18,P064409-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064409,식약처('21),80,355.0,-,6,15,49,3.0,1240.0,0,7,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산), 변성전분, 감자전분(독일산, 덴마크산),감미유S,정제염,야채풍미액,글루텐,면류첨가알칼리제(탄산칼륨, 탄산나트륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜, 녹차풍미액, 비타민B2","정제염,조미대두단백,쇠고기향야채분말,설탕,건당근,맛베이스,복합간장 조미분말,건청경채,건조지단,고춧가루, 간장조미분말,쇠고기맛분,돈골농축분말, 쇠고기장국분말, 양념간장액분말, 포도당, 고풍미쇠고기맛분말, 야채풍미분말, 풍미유베이스분말,매운양념분말,건파,매운탕분말, 다대기베이스분, 세이보리분말, 향미증진제, 감칠맛조미분, 우마미베이스,조미마늘분,흑후추분말,산도조절제,비프시즈닝오일, 파프리카추출색소, 생강풍미분말"
팔도 가쓰오우동왕뚜껑,19,P064410-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064410,식약처('21),110,490.0,-,8,20,70,4.0,1580.0,0,10,-,0,"소맥분(밀:호주산), 팜유(말레이시아산),감자전분, 변성전분, 정재영,감미유(대두),글루텐,면조미양념액(돼지고기), 양파농축액,산도조절제, 면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨),구아검,비타민B2,녹차풍미액","정제염, 설탕, 별미튀김6호(밀,우유,계란),덱스트린, 표고버섯,액기스분말B, 고추가루,흑후추분말, 대두유(대두), 향미증진제,가쓰오조미과립5.38% [가쓰오부시10% (가다랑어, 일본산),가쓰오부시엑기스분말0.5%[가쓰오엑기스40% (고형분50%,가다랑어, 일본산),가쓰오부시엑기스 7% (고형분 20%, 가다랑어,일본산)],반달핑크건조어묵,L-글루타민산나트륨(향미증진제), 양조간장분말,멸치베이스분말,건파,건미역, 고농축간장분말,가쓰오베이스분말3.85% (가다랑어분말6.41%(가다랑어, 인도네시아산)),간장조미분말 다시마엑기스분말,무우즙분말-2, 효모조미역분말,해산물분말(새우),산도조절제, 김,카라멜색소,멸치분말,가쓰오분말0.23% [가다랑어분말99%(가다랑어, 인도네이아산)]"
팔도 김치왕뚜껑,20,P064411-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064411,식약처('21),110,470.0,-,8,17,71,4.0,1790.0,0,9,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산),감자전분(독일산,덴마크산), 변성전분,정제염,글루텐,감미유S,야채풍미액,면류첨가알칼리제(탄산나트륨, 탄산칼륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차 풍미액,비타민B2","건조김치,정제염,볶음고추분말,L-글루타민산나트륨(향미증진제),돈골농축분말,볶은소금,건당근,김치찌개분말,간장조미분말,건파,볶음소금-2,김치맛 분말,건조지단,설탕,김치국물베이스,포도당, 복합간장조미분말,김치스프베이스, 고추장양념분말, 분말된장,조미마늘분,산도조절제,조미양파분, 가공유장분, 흑후추분말,카라멜색소,향미증진제,마늘향오일,올레오레진캡시컴"
팔도 왕뚜껑,21,P064412-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064412,식약처('21),110,475.0,-,9,17,71,4.0,1690.0,0,9,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산),감자전분(독일산,덴마크산), 변성전분,정제염,글루텐,감미유S,야채풍미액,면류첨가알칼리제(탄산나트륨, 탄산칼륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차 풍미액, 비타민B2","정제염, 소고기맛조미후레이크,고춧가루, 설탕,건당근,맛베이스, 볶은소금, 볶음짬뽕분, 혼합조미료,오징어조미분말, 새우분말, 양파분말, 고추장양념분말, 간장조미분말,복합간장조미분말,쇠고기맛분,건파,핫베이스분말,청경재, 계란 지단, 양념간장액분말,매운양념분말, 포도당,돈골농축분말,조미분에이,사골엑기스분말, 고풍쇠고기맛분말,향미증진제, 건표고버섯,감칠맛조미분, 우아미베이스, 흑후추분말,마늘시즈닝분말,산도조절제, 파프리카추출색소,생강풍미분말,잔탄검"
팔도 틈새라면 볶음면 컵,22,P064413-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064413,식약처('21),105,430.0,-,8,16,64,6.0,990.0,2,7,-,0,"소맥분(미국산, 호주산), 팜유(말레이시아산), 감자전분(독일산, 덴마크산), 변성전분, 감미유, 정제염, 글루텐, 양파농축액, 면류첨가알칼리제(탄산칼륨, 탄산나트륨,제이인산나트륨), 구아검, 산도조절제, 비타민B2, 녹차풍미액","정제수, 설탕, 비프농축액, 기타과당, 감칠맛베이스, 그릴드풍미베이스, 사골엑기스, 효모추출물, 양조간장, 별미튀김, 고춧가루, 볶음야채풍미유, 마늘엑기스, 댄스트린, 양념소고기맛분말, 불고기맛분말, 혼합야채엑기스, 그릴스파이스, 핫스파이스분말, 참깨, 매운양념분말, 파프리카추출색소, 카라멜당시럽, 사과농축과즙, 굴소스, 매운맛풍미유, 변성전분, 계란후레이크, 정제염, 구운김, 흑후추분말, 향미증진제, 잔탄검"
팔도비빔면컵,23,P064414-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064414,식약처('21),115,465.0,-,8,18,68,14.0,1190.0,0,9,-,0,"소맥분(밀:미국산,호주산), 팜유(말레이시아산), 변성전분, 정제염, 감미유, 알파육베이분, 글루텐, 전지분, 산도조절제, 연료첨가알칼리제(탄산칼륨, 탄산나트륨,제이인산나트륨), 씨즈닝엑기스(돼지고기), 구아검, D-토코페롤(혼합형), 올레오레진로즈베리, 비타민B2","설탕, 고추장(밀), 정제수, 액상과당, 정제염, 향산식품, 토마토케첩(토마토), 고추분말, 혼합조미료, 대두유(대두), 매운양념분말, 사과과즙, 건파, 건양배추, 양념간장액, 쇠고기효모농축액, 주정식초, 메추리알모양후레이크(계란), L-글루타민산나트륨(향미증진제), 파프리카추출색소, 매운조미고추맛본, 향미증진제, 감초맛분"
팔도탄탄면 왕컵,24,P064415-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064415,식약처('21),116,500.0,-,11,22,65,4.0,1700.0,2,10,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산), 변성전분, 감자전분(독일산,덴마크산),글루텐, 정제염, 감미유S,야채풍미액, 이스트엑기스,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산 나트륨),구아검,산도조절제,녹차풍미액, 비타민B2","정제수, 탄탄면스프베이스,탄탄면오일,땅콩버터, 돈골엑기스,두반장,건청경채, 굴소스, 맛베이스,분말된장,정제염,핫베이스분말,덱스트린, 건양배추, 치킨엑기스,건홍피망,대두단백 후레이크,건파, 변성전분, 고춧가루, 향미증진제, 파프리카추출색소,혼합제제식품첨가물(유카추출물, 차추출물,트레하),참깨, 카라멜당시럽"
편스토랑 마장면,25,P064416-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064416,식약처('21),123,515.0,-,10,18,78,11.0,1180.0,0,7,-,0,"한면칼국수[쌀(국내산),곡류가공품(감자전분:폴란드산),정제소금]","마장면소스[물엿,참깨페이스트(참깨페이스트:중국산),설탕,동치미농축액{동치미엑기스(동치미농축액(무:국산))},땅콩버터],청오이(국산),참기름,미강유혼합액"
편스토랑 파래탕면,26,P064417-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064417,식약처('21),103,440.0,-,10,16,64,2.0,1730.0,15,8,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산), 변성전분, 감자전분(독일산,덴마크산),감미유,정제수,글루텐,파래분말(파래:국내산),야채풍미액,면류첨가알칼리제(탄산칼륨, 탄산나트륨,피로인산나트륨,구아검,산도조절제, 알긴산프로필렌글리콜, 녹차풍미액","조미된장분말, 동결건조맛살,꽃게페이스트,분말 건당근,정제염,L-글루탐산나트륨(향미증진제), 건오징어, 건조무, 건마늘, 파래분말, 해산물분말, 볶음된장분말, 무국맛분말, 건새우, 조미마늘분, 게농축액분말, 건파, 간장조미분말, 설탕, 조미분말,오징어조미분말, 대파엑기스파우다, 대합엑기스분말, 매운맛베이스,산도조절제, 향미증진제, 링홍고추,조미맛분,청양고추엑기스분말,매운양념분말"
우유라면,27,P064418-ZZ-AVG,,(주) 팔도,2021,가공식품,유탕면,P064418,식약처('21),105,440.0,-,9,15,67,6.0,1530.0,2.4,8,-,0,"소맥분(미국산,호주산), 팜유(말레이시아산),감자전분(독일산 덴마크산), 변성전분, 감미유, 정제염, 글루텐, 양파농축액, 면류첨가알칼리제(탄산칼륨,탄산나트륨,제이인산나트륨), 구아검,산도조절제,비타민B2, 녹차풍미액","우유맛분말, 서울전지분유, 설탕,정제염,L-글루탐산나트륨(향미증진제), 파마산치즈분말 소고기맛조미후레이크,가공유장분, 식물성크림, 진국쇠고기분말, 조미간장양념분,돈골농축분말 건청경채,찰옥수수전분, 건당근, 데스트린, 건파,고농축간장분말, 고춧가루, 매운풍미분, 조미마늘분, 매운양념분말, 대파엑기스파우다, 구아검,건홍피망,산도조절제, 포도당, 향미증진제, 치킨스톡분말, 채종유, 우마미베이스,흑후추분말,잔탄검, 파프리카추출색소"
감자면큰사발면,28,P065193-ZZ-AVG,,(주)농심,2021,가공식품,유탕면,P065193,식약처('21),92,405.0,-,6,15,62,5.0,1450.0,0,10,-,0,"감자전분(덴마크산), 소맥분(밀:미국산, 호주산), 팜유(말레이시아산), 글루텐, 식물성풍미유, 난각칼슘, 정제염, 마늘조미액, 면류첨가알칼리제(산도조절제), 혼합제제(산도조절제), 복합액상토코페롤{글리세린,d-토코페롤(혼합형),유화제}, 올리고녹차풍미액, 비타민B2","야채분말, 볶음참깨분말, 콘소메맛분말, 양지비프스톡분말, 정제염, 복합조미간장분말, 양배추즙분말, 양파볶음분말, 호화감자전분(네덜란드산), 간장분말, 맛베이스, 소고기조미분말, 포도당, 5'-리보뉴클레오티드이나트륨, 마늘베이스, 다시마추출분말, 조미아미노산간장분말, 정백당, 호박산이나트륨, 수화검(구아검,잔탄검), 후추풍미분말, 후추가루, 청양고추시즈닝분말, 생강추출물분말, 매운맛조미분, 튀김감자{감자(중국산)}, 건감자튀김{건조감자(미국산)}, 건청경채, 건표고버섯, 조미건조홍고추 (밀, 대두, 계란, 닭고기, 쇠고기, 함유)"
김치사발면,29,P065194-ZZ-AVG,,(주)농심,2021,가공식품,유탕면,P065194,식약처('21),86,380.0,-,7,14,56,5.0,1520.0,0,7,-,0,"소맥분(밀:미국산,호주산), 팜유(말레이시아산), 감자전분(덴마크산), 변성전분, 식물성풍미유, 난각칼슘, 정제염, 면류첨가알칼리제(산도조절제), 혼합제제(산도조절제), 구아검, 올리고녹차풍미액, 비타민B2","조미분말베이스, 김치베이스, 김치조미베이스, 포도당, 조미아미노산간장분말, 칠리맛조미분, 간장분말, 정제염, 정백당, 물엿분말, 분말고추장, 마늘베이스, 복합양념분말, 5'-리보뉴클레오티드이나트륨, 동결건조김치분말, 구연산, 생강추출분말, 호박산이나트륨, 비프양념분말, 후추추출분말, 건조김치후레이크, 건당근, 건청경채"
김치큰사발면,30,P065195-ZZ-AVG,,(주)농심,2021,가공식품,유탕면,P065195,식약처('21),112,500.0,-,9,18,75,6.0,1590.0,3,9,-,0,"소맥분(밀:호주산,미국산), 팜유(말레이시아산),감자전분(덴마크산),변성전분,난각칼슘, 정제염, 야채조미추출물,면류첨가알칼리제(산도조절제),혼합제제(산도조절제),구아검,올리고녹차풍미액,비타민B2.","건조김치후레이크,속성김치분말,김치조미베이스,정백당,조미분말베잇,복합조미간장분말,칠리맛조미분,양지비프스톡분말,분말고추장,조미양념분,간장분말,정제염,5'-리보뉴클레오티드이나트륨,포크전골추출물분말,김치풍미분,매운맛분말,후레바부스터분말,구연산,후추가루,매운맛조미분,생각추출물분말,호박산이나트륨,건청경채. 밀,대두,우유,계란,돼지고기,쇠고기함유"
