식품명,No.,SAMPLE_ID,성분,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1포장당,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g),면,스프
해물라면컵,97,P065320-ZZ-AVG,,(주)농업법인쿱도우 괴산공방,2021,가공식품,유탕면,P065320,식약처('21),105,480.0,-,9,19,67,4.0,1540.0,5,9,-,0,"소맥분(미국산,호주산),팜유(말레이시아산),감자전분(독일산,덴마크산), 변성전분,글루텐,감미유S,야채풍미액,면류첨가알칼리제(탄산나트륨, 탄산칼륨,피로인산나트륨),구아검,산도조절제, 알긴산프로필렌글리콜,녹차풍미액,비타민B2","정제염,L글루타민산나트륨(향미증진제),설탕,볶음시즈닝분말,건양배추, 조미간장양념분,오징어조미분말,간장분말, 꽃게베이스,건당근,새우분말,조미분에이,간장분말,꽃게베이스,새우분말,건파, 건당근,오징어후레이크,조미분에이,건미역,간장조미분말,건다시마,건오징어,해산물분말,맛나베이스, 양파간장복합분말,조미새우분말,볶음양념분말,홍합엑기스분말,조미마늘분,매운 양념분말,미더덕엑기스분말,흑후추분말,향미증진제,파프리카추출색소,조미 맛분,산도조절제,생각풍미분말,대합엑기스분말"
쌀로 빚은 채식라면,98,P000620-ZZ-AVG,,㈜새롬식품,2016,가공식품,유탕면,P000620,식약처 영양실태조사('16),114,490.0,-,-,-,-,2.0,1700.0,-,7,-,0,"유기농쌀가루40.49%(국산), 팜유(말레이시아산), 변성전분, 감자전분, 글루텐(밀), 태움.용융소금, 감미유-R(대두), 산도조절제, 구아검, 혼합제제(탄산칼륨, 탄산나트륨, 피로인산나트륨), 비타민B2","채식분말베이스[정제염, 덱스트린, 정백당, 고춧가루, 스프베이스분말(대두), 고추장분말(밀)], 정제염, 정백당 / 건더기스프 : 건표고버섯(국산), 건파(국산), 건당근[당근(국산), 포도당], 건미역(국산)"
7가지 채소가득 우리밀라면,99,P067832-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067832,식약처('21),72,340.0,-,7,15,44,2.0,1340.0,0,7,-,0,"밀가루(밀:국내산)32%, 변성전분, 팜유(말레이시아산), 감자전분(감자:국내산), 밀글루텐, 쌀가루(쌀:국내산,유기농)5%, 식용유지가공품, 태움용융소금, 피로인산나트륨, 구아검, 면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨), 비타민B2","양념베이스분말[말토덱스트린,산분해간장{탈지대두(외국산:미국산,인도산,중국산 등)},백설탕,정제소금(국내산),두류가공품], 말토덱스트린, 정제소금(국내산), 백설탕, 양념간장분-1, 고농축간장분말, 양조간장원액분말, 양파분, 마늘분, 표고버섯분말, 5'-리보뉴클레오티드이나트륨(향미증진제), 효모추출물, 파프리카추출색소, 흑후추분, 올레오레진캡시컴   건더기스프2.1% - 건표고버섯(국내산), 건시금치(국내산)16.66%, 건양파분(국내산)13.34%, 건파(국내산)13.34%, 건양배추{양배추(국내산),포도당}13.34%, 건당근{당근(국내산),포도당}10.66%, 건고추(국내산)6.66%, 건브로콜리(국내산)6%   대두, 밀, 돼지고기, 쇠고기 함유"
﻿군산불짬뽕컵면,100,P067833-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067833,식약처('21),82,346.0,-,9,16,40,2.0,1424.0,0,7,-,0,"감자전분(독일산), 팜유(말레이시아산), 변성전분(프랑스산),글루텐,찰보리가루10% (국산군산)쌀가루,식용유지가공품, 태움용융소금,산도조절제, 구아검,면류첨가알칼리제 (탄산칼륨,탄산나트륨,피로인산나트륨), 비타민B2","군산불짬뽕소스[정제수,정제소금(국산),오징어맛농축액(오징어피추출액(국산),덱스트린,정제소금(국산),포도당, 글리 신] 오징어엑기스(오징어족(국산),물엿,정제소금(국산),포도당,조미료방(78에스), 다시다 쇠고기(정제소금,쇠고기양념분말,향미증진제,설탕,농축간장), 향미증진제]건더기스프/ 건고추(국산),건파(국산),건미역(미역:국산), 건당근(당근(국산), 포도당}"
삼육 우리밀로만든감자라면컵,101,P067834-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067834,식약처('21),73,325.0,-,6,14,45,3.0,1170.0,0,7,-,0,"감자전분31%(독일산), 밀가루28%(국산), 팜유(말레이시아산), 변성전분, 글루텐, 감미유-R, 감자분말1% (감자95%, 국산), 정제염, 산도조절제, 구아검, 면류첨가알칼리제 (탄산칼륨, 탄산나트륨, 피로인산나트륨), 비타민B2","채식용기면분말스프(정제염, 매운맛키베이스, 백설탕, 데스트린, 간장베이스D-200), 백설탕, 건표고버섯(국산), 건파(국산), 건당근당근(국산),포도당}, 건미역(미역:국산)"
애터미우리밀감자라면컵,102,P067835-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067835,식약처('21),73,321.0,-,6,14,45,3.0,1000.0,0,7,-,0,"감자전분(국내산),밀가루(국내산), 팜유(말레이시아산), 변성전분,글루텐, 폴리덱스트로스,감미유-R, 감자분말(국내산, 감자95%), 태움용융소금, 산도조절제,구아검,면류첨가알칼리제(탄산칼륨, 탄산나트륨, 피로인산나트륨), 비타민B2","채식용기면분말스프 정제염, 매운맛키베이스, 백설탕, 말토덱스트린, 간장베이스D-200, 고춧가루(국내산)},백설탕, 건표고버섯(국내산), 건파(국내산), 건당근당근(국내산),포도당}, 건미역(미역:국내산)"
우리감자로만든감자라면,103,P067836-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067836,식약처('21),73,335.0,-,7,15,43,2.0,1280.0,0,7,-,0,"밀가루(밀:무농약,국산), 팜유(말레이시아산),감자전분(국산)14. 6%, 변성전분,글루텐,식용유지가공품, 태움,용융소금,산도조절제, 구아검,면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨)","맛있는소고기맛스프(양념베이스분말-S,쇠고기추출물 분말, 정제소금,진한비프맛분말, 양념간장분-1),건파(국산), 건양배추(양배추(국산), 포도당),건표고버섯(국산), 건당근(당근(국산), 포도당), 건양파(국산)"
우리채소가풍부한짬뽕라면,104,P067837-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067837,식약처('21),75,345.0,-,7,15,46,3.0,1400.0,2,7,-,0,"밀가루(밀:무농약, 국산), 팜유(말레이시아산),감자전분(국산), 변성전분, 글루텐,식용유지가공품, 태움용융소금,산도조절제,구아검, 면류첨가알칼리제(탄산칼륨,탄산나트륨,피로인산나트륨),비타민B2","맛있는짬뽕맛분말(짬뽕스프베이스,정제소금,백설탕,짬뽕맛분말, 맛베이스-3),건양배추(양배추(국산),포도당), 건당근당근(국산), 건양파(국산), 동결건조오징어(오징어:국산, 정제염),건표고버섯(국산),건미역(미역:국산,천일염)"
제주딱새우라면,105,P067838-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067838,식약처('21),68,297.0,-,7,12,42,1.0,1446.0,0,5,-,0,"감자전분(독일산), 팜유(말레이시아 산), 변성전분, 글루텐(프랑스산),밀가루,쌀가루, 폴 리덱스트로스,식용유지가공품, 태움. 용융소금,산도 조절제,구아검,면류첨가알칼리제(탄산칼륨,탄산 나트륨,피로인산나트륨),비타민B2","딱멘봉지스프 [딱멘베이스분말{정제소금(국산),L-글루탐산나트륨(향미증진제), 설탕,볶음고추 분말,오징어조미분말NM), 해물짬뽕베이스분말, 딱새우분말(국산), 홍합엑기스분말, 건당근,건미역, 건파]"
제주흑돼지라면컵돗멘,106,P067839-ZZ-AVG,,(주)새롬식품(완주공장),2021,가공식품,유탕면,P067839,식약처('21),73,333.0,-,7,14,45,1.0,1233.0,1,7,-,0,"감자전분(독일산), 팜유(말레이시아산), 변성전분, 글루텐(프랑스산), 밀가루, 쌀가루, 폴리덱스트로스, 식용유지가공품, 태움·용융소금, 산도조절제, 구아검, 면류첨가알칼리제(탄산칼륨, 탄산 나트륨, 피로인산나트륨), 비타민B2","돗멘봉지스프 [돈골육수베이스[돈골양념베이스, 정제소금(국산), L-글루 탐산나트륨(향미증진제), 설탕, 볶음고추분말, 밀단백후레이크, 제주흑돼지육포분말(돼지고기: 제주산)] 3.5%"
